ID,TYPE,MODEL
374,1,JS-1 B Revelation
375,1,JS-1 C18 Evo
376,1,JS-1 C21
377,1,LAK-12 R
378,1,Nimbus 2 C
379,2,RF 3
380,2,RF 4
381,2,RF 5 b
382,2,RF 47
383,2,RF 7
384,1,RF 9
385,1,RF 10
386,4,AS 350
387,4,EC 135
388,4,AS 365
389,4,EC 175
390,4,A 119
391,4,EC 120
392,4,EC 130
393,2,Bellanca Scout
394,2,Bellanca Decathlon
395,2,Mooney
396,2,Piper J-3 Cub
397,2,Pilatus PC-12
398,1,AV 36 Fauvel
399,1,SZD-19 Zefir
400,1,SZD-21 Kobuz
401,1,SZD-22 Mucha Standard
402,1,SZD-23 Bocian 2
403,1,SZD-29 Zefir 3
404,1,SZD-31 Zefir 4
405,1,SZD-32 Foka 5
406,1,SZD-51 Krokus
407,1,Doppelraab
408,3,Lambada
409,3,Phoenix
410,4,Robinson R44
411,3,EuroFox
412,2,Z-226 trener
413,1,VSO-10
414,1,LAK-17B FES
415,1,Capstan
417,1,Silent 2 Electro
418,2,Avro Lancaster
419,2,Douglas Dakota
420,2,Avro Vulcan
421,1,A380
422,3,Sensation
423,2,Cessna T303
424,2,Maule M-7-235
425,2,Maule M-7
426,5,DJI Inspire
427,5,DJI Phantom
428,5,DJI S1000
429,5,DJI S900
430,5,Drone/UAV
431,5,DJI S800
432,5,MikroKopter Okto
433,5,MikroKopter Hexa
434,5,MikroKopter Quadro
435,5,Parrot Bebop
436,5,Parrot AR.Drone
437,5,Parrot senseFly
438,1,Janus CT
439,2,Luscombe 8E
440,6,Baloon
442,2,AK-2R
443,1,LS-6 18WJ
444,1,PIK-30
445,1,Slingsby T51 Dart 17WR
446,1,Slingsby Skylark 3F
447,1,AVo 68 Samburo
448,1,Kranich III
449,1,Grunau Baby
450,2,Fuji FA-200
451,3,AutoGyro MTOsport
452,1,Olympia 463
453,2,PIK-15 Hinu
454,1,VT-116 Orlik II
455,3,Samba XXL
456,2,CallAir A-9
457,4,A 109
458,4,Bell 206
459,4,Bell 407
460,4,ENF 28
461,4,ENF 480
462,4,Cabri G2
463,4,HU 269
464,4,SC 330
465,4,K1200
466,4,HU 369
467,4,MD 500
468,4,MD 600
469,4,Robinson R22
470,4,Robinson R66
471,2,Jodel DR-1050
472,2,AS202/32TP Turbo Bravo
474,1,Banjo MH
475,1,DuoBanjo
476,3,Allegro 2000
477,3,FM250 Vampire
478,1,SkyArrow
479,3,Gyrocopter
480,3,ArrowCopter
481,2,Tecnam P2002 JF
482,2,PA-17 Piper
483,1,Valentin Taifun
484,2,Socata Rallye 235CA-M
485,3,SkyRanger
486,2,SportCruiser
487,3,SkyRanger Nynja
488,1,PZL Krosno KR-03 Puchatek
489,3,A2 CZ Ellipse Spirit
490,2,Scottish Aviation Bulldog
491,2,Vans RV-4
492,3,FK9 Mark 2
493,1,Mu 26
494,4,BK 117
495,2,Diamond DA42
496,1,miniLAK
497,1,miniLAK T
498,1,miniLAK FES
499,1,GP 11 Pulse
500,1,GP 14 S Velo
501,1,GP 14 SE Velo
502,1,GP 15 S Jeta
503,1,GP 15 SE Jeta
504,1,Ka-4
505,1,JS-3 15M
506,1,JS-3 18M
507,1,Ventus 3T
508,1,Ventus 3M
509,1,Ventus 3F
510,3,Stratos 300
511,2,PA-30 Twin Comanche
512,1,LG-425 Sohaj
513,2,L-60 Brigadyr
514,3,P.220S Koala
515,3,P 220 Koala
516,2,Polikarpov Po-2
517,2,Lisunov Li-2
518,2,Rubik R-18 Kanya
519,2,Banhidi Gerle
520,1,AS 33
521,3,Scheibe SF 40
522,3,Alpaero Choucas
523,1,Vliegtuigbouw 013 Sagitta
524,2,Cessna 185
525,2,Rallye 180T-D
526,1,Rhonbussard
527,1,Smyk
528,2,Zlin 50
529,2,Zlin 142
530,2,Zlin 242
531,2,Zlin 526F
532,2,Extra 330
533,2,Antonov 2
534,2,Rutan VariEze
535,1,SB-11
536,1,SB-14
537,3,Pipistrel Virus
538,2,Aero Boero 180
539,1,Slingsby T51 Dart 17R
540,2,Tecnam P2006T
541,2,Grob G120TP
