#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,AIRCRAFT_TYPE
'I','484C22','DG-505','PH-1207','C6','Y','Y','1'
'F','484C32','Cirrus Std','PH1440','AG','Y','Y','1'
'I','484C47','Astir CS','PH-556','6W','Y','Y','1'
'I','484C48','ASK-21','PH-1250','M9','Y','Y','1'
'I','484C49','ASK-21','PH-1311','M11','Y','Y','1'
'I','484C4E','Motorplane','PH-JDK','','Y','Y','2'
'F','484C64','ASW-15','PH-1140','3C','Y','Y','1'
'F','484C72','Discus t','PH-1456','Y9','Y','Y','1'
'F','484C81','LS-10','PH-1410','MR','Y','Y','1'
'I','484C82','LS-8 18','PH-1454','SX','Y','Y','1'
'F','484C86','Cirrus Std','PH-1367','NM','Y','Y','1'
'I','484C94','Twin Astir III','PH-1228','28','Y','Y','1'
'F','484CAE','Libelle Std','PH-482','34','Y','Y','1'
'F','484CBE','LS-8 18','PH-1457','KL','Y','Y','1'
'F','484CCC','ASK-21','PH-1462','G1','Y','Y','1'
'I','484CE4','Ventus','PH-707','MS','Y','Y','1'
'O','484D20','Ground Station','TataT2','TT2','Y','Y','6'
'I','484D88','Twin Astir I','PH-1095','SN','Y','Y','1'
'F','484DB1','Ka-6 cr','PH-339','XXX','Y','Y','1'
'I','484DD7','Astir CS','PH-1465','TC3','Y','Y','1'
'F','484DF3','Discus t','PH-1184','AN','Y','Y','1'
'F','484DFC','Astir CS','PH-1329','BO','Y','Y','1'
'I','484E02','Pilatus B4','PH-514','ALU','Y','Y','1'
'I','484E1E','Ka-7','PH-822','','Y','Y','1'
'I','484E38','Cessna 152','PH-LMJ','','Y','Y','2'
'I','484E41','LS-3','PH 1421','3A','Y','Y','1'
'I','484E43','ASK-13','PH-492','55','Y','Y','1'
'F','484E4B','ASK-13','PH-1122','VA','Y','Y','1'
'F','484E7B','Ka-7','PH-276','BSM','Y','Y','1'
'I','484E81','HPH 304C','PH-1259','Z3','Y','Y','1'
'F','484E85','Libelle Std','PH-483','VT','Y','Y','1'
'I','484E95','Ka-6 e','PH-364','','Y','Y','1'
'I','484EDD','Discus','PH-1468','JKR','Y','Y','1'
'F','484EE7','ASK-21','PH-1469','T14','Y','Y','1'
'I','484EF4','Duo Discus xlt','PH-1471','T7','Y','Y','1'
'I','484EF6','Vans RV-6a','PH-OBO','','Y','Y','2'
'F','484EF9','Ventus 2ct','PH-1473','TK','Y','Y','1'
'I','484EFE','ASK-21','PH-1474','SD','Y','Y','1'
'F','484F12','ASK-21','PH-1483','T15','Y','Y','1'
'I','484F1C','LS-4 W','PH-1484','N6','Y','Y','1'
'F','484F1E','Cirrus 18m','PH-1479','4C2','Y','Y','1'
'I','484F29','ASW-20','PH-1482','XO','Y','Y','1'
'I','484F45','LS-4','PH-1480','T8','Y','Y','1'
'I','484F68','ASW-19','PH-1491','CV','Y','Y','1'
'I','484F6F','Twin Astir I','PH-832','YO','Y','Y','1'
'I','484F81','Arcus M','PH-1496','ZZZ','Y','Y','1'
'I','484F85','ASW-28 18','PH-1503','GR','Y','Y','1'
'F','484F8A','Duo Discus xlt','PH1502','K9','Y','Y','1'
'F','484F9A','Motorplane','Ph-dvs','','Y','Y','2'
'I','484F9C','LS-4','PH-1505','SW','Y','Y','1'
'F','484F9D','ASG-29E','PH-1493','29','Y','Y','1'
'I','484F9E','Vans RV-12','PH-SEP','','Y','Y','2'
'I','484F9F','Duo Discus','PH-1508','MV','Y','Y','1'
'I','484FA8','LS-8 18','PH-1510','E5','Y','Y','1'
'I','484FB2','Vans RV-12','PH-BZT','','Y','Y','2'
'I','484FB3','Aquila A210','PH-DHA','','Y','Y','2'
