#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,AIRCRAFT_TYPE
'F','000000','HPH 304CZ-17','OK-7777','KN','Y','Y','1'
'O','000001','Paraglider','','','Y','Y','6'
'F','000002','LS-6 18','OY-XRG','G2','Y','Y','1'
'F','00000D','Ka-8','D-1749','W5','Y','Y','1'
'F','000010','Unknown','D-EEAC','AC','Y','Y','6'
'F','000011','Skylane Airlony','D-MTEW','EW','Y','Y','3'
'F','000013','PA-28','D-EZIP','IP','Y','Y','2'
'O','000015','Paraglider','36445','','Y','Y','6'
'F','0000FD','Taurus','F-JRDN','DN','Y','Y','1'
'F','000114','','','','N','N','2'
'O','000146','Paraglider','000146','','Y','Y','6'
'O','000287','Paraglider','32712','','Y','Y','6'
'F','000296','Unknown','D-IEST','','Y','Y','6'
'F','000333','ASG-29','N229CW','S2H','Y','Y','1'
'F','000338','Unknown','','','Y','Y','6'
'O','000343','Paraglider','Thomas','','Y','Y','6'
'F','000368','PIK-20 B','C-GORE','GP','Y','Y','1'
'F','000379','ASW-27','N127MM','MM','Y','Y','1'
'F','000414','Paraglider','','','Y','Y','6'
'F','000451','ASG-29','N232FG','FG','Y','Y','1'
'F','000457','ASW-20','OK-9496','96','Y','Y','1'
'F','000481','Pegase','n626ca','E2','Y','Y','1'
'F','000503','SZD-48-1 Jantar Std 2','SP-3152','DG','Y','Y','1'
'F','000597','LS-6','D-8997','IV','Y','Y','1'
'F','000617','ASW-20','OE-5292','A2','Y','Y','1'
'F','000634','Ultralight','D-MJPH','','Y','Y','3'
'F','000654','Apis 2','G CJDL','DL','Y','Y','1'
'O','000840','','','','Y','N','6'
'O','000871','Paraglider','D-NDII','','Y','Y','6'
'O','000888','Paraglider','52143','','Y','Y','6'
'F','000935','ASH-25 MI','HB-2393','RM','Y','Y','1'
'F','000967','Paraglider','38693','','Y','Y','6'
'O','001011','Paraglider','','','Y','Y','6'
'F','001030','ASW-19','D-6985','KHM','Y','Y','1'
'F','001032','LS-1 d','F-CDVV','L21','Y','Y','1'
'F','001067','Experimental','OE-CCM','','Y','Y','1'
'F','001352','Motorplane','HBEHS','','Y','Y','2'
'F','001474','Discus 2','N164AF','7AF','Y','Y','1'
'O','001549','Paraglider','36445','','Y','Y','6'
'F','001571','Mooney','DENWU','','Y','Y','2'
'O','001661','Paraglider','','','Y','Y','6'
'F','001954','Gyrocopter','I-B826','','Y','Y','3'
'F','002012','Paraglider','CH48475','HrL','Y','Y','6'
'F','002047','Flight Design CTSW','G-RILA','','Y','Y','3'
'F','002250','DG-600','D-KHPE','','Y','Y','1'
'O','002427','Paraglider','10776','','Y','Y','6'
'F','002444','LS-1 d','D-0685','12','Y','Y','1'
'F','002705','Motorglider','G-CKIU','KIU','Y','Y','1'
'F','002765','','','','N','N','1'
'F','002787','','','','N','N','1'
'F','002814','','','','N','N','1'
'F','002999','Paraglider','38032','','Y','Y','6'
'F','003191','Ventus ct','G-CJKY','243','Y','Y','1'
'F','003383','ASH-31 MI','D-KCHD','HD','Y','Y','1'
'F','003573','Paraglider','17019','SHV','Y','Y','6'
'F','003665','Paraglider','110CE9','BIR','Y','Y','6'
'F','003733','Nimbus 3','VH-ZBV','BV','Y','Y','1'
'F','003751','DG-808 C','D-KKCB','CB','Y','Y','1'
'F','003812','HangGlider','','','Y','Y','6'
'F','003854','Duo Discus xlt','G-CKRO','KRO','Y','Y','1'
'F','003974','PIK-20 D','C-GFOP','OP','Y','Y','1'
'F','003998','LAK-17 AT','','','Y','Y','1'
'F','003B7D','ASW-20','D-3081','DH','Y','Y','1'
'F','003EB8','DG-800','D-KNKJ','DG','Y','Y','1'
'F','004163','Mosquito','F-CEQV','M1','Y','Y','1'
'F','004172','Paraglider','D-MXDB','','Y','Y','6'
'F','0042F9','Discus 2','D-5480','BW2','Y','Y','1'
'F','004335','','','','N','N','3'
'F','004400','ASK-21','OY-XVY','VY','Y','Y','1'
'F','004604','Ventus 2','D-6965','','Y','Y','1'
'I','004641','SZD-55','C-GKAK','AK','Y','Y','1'
'F','004664','UFO','OY-XUG','G3','Y','Y','6'
'F','004701','','','','N','N','1'
'F','004702','','','','N','N','1'
'F','004811','ASG-29','ZS-OKW','133','Y','Y','1'
'I','004848','Ultralight','4848','','Y','Y','3'
'F','004925','ASW-19','C-GBYR','DX','Y','Y','1'
'F','004D37','ASG-29','D-7429','9','Y','Y','1'
'O','004F0F','L-Spatz 55','LY-GJH','AK','Y','Y','1'
'F','005071','LS-4','G-DEOA','PL','Y','Y','1'
'F','005196','JS-1 C21','N213DT','DT','Y','Y','1'
'F','005255','Duo Discus xlt','D-KKSV','SV','Y','Y','1'
'F','005610','MDM-1 Fox','OE-5610','FOX','Y','Y','1'
'O','00582E','Towplane','LKVP-T1','TP1','Y','Y','2'
'F','006203','','','','N','N','1'
'F','006569','Discus 2','D-6322','HUN','Y','Y','1'
'O','006704','','','','N','N','2'
'F','0083C2','JS-3 18M','ZT-GML','ML','Y','Y','1'
'F','00901A','JS-1 C21','ZS-GBX','BJ','Y','Y','1'
'F','009181','Nimbus 4DT','D-KTMT','ZY','Y','Y','1'
'O','009445','VSO-10','OK-1516','16','Y','Y','1'
'F','00A98C','Discus','D-KAMR','MR','Y','Y','1'
'O','00BE02','UFO','OKXAE22','SLZ','Y','Y','6'
'F','00C94D','Apis 2','F-JDYM','FM','Y','Y','1'
'F','00DABC','JS-1 B Revelation','','N1','Y','Y','1'
'F','00DEFF','ASK-21','D-7070','','Y','Y','1'
'F','00EF48','Ventus cM','D-KBDV','MI','Y','Y','1'
'F','00F282','Pegase','F-CGED','ED','Y','Y','1'
'F','00F8D7','ASW-15','OM-1615','TZ','Y','Y','1'
'O','011292','Paraglider','','','Y','Y','6'
'O','011821','VT-116 Orlik II','OK6430','T','Y','Y','1'
'O','013020','Unknown','OK-0550','E8','Y','Y','6'
'O','013032','Unknown','OK-3368','GL','Y','Y','6'
'O','014312','Skylane Airlony','OKUUO15','','Y','Y','3'
'O','014D71','Drone/UAV','METEO1','','Y','Y','5'
'O','01542C','Baloon','D-OVDS','DS','Y','Y','6'
'O','016027','PA-28','HA-BEC','HEC','Y','Y','2'
'O','01663C','Different Aircraft','FFVP003','F03','Y','Y','1'
'O','017B28','Cessna 172','HA-DOM','DOM','Y','Y','2'
'O','018A40','Gyrocopter','OMM-072','SZL','Y','Y','3'
'O','020827','Unknown','OK-5678','OG','Y','Y','6'
'O','021338','LS-1 f','CUBE3','IBI','Y','Y','1'
'O','022710','Astir CS','OK-5314','CS','Y','Y','1'
'O','023324','Drone/UAV','MET','','Y','Y','5'
'O','023753','Unknown','OK-6602','AH','Y','Y','6'
'O','023C0D','ASW-20','OK-xxxx','','Y','Y','1'
'O','024234','ASW-15','OK-2307','','Y','Y','1'
'O','024932','UFO','CC-TR23','T23','Y','Y','6'
'O','024B60','OldTimer','OM-OLD3','OB3','Y','Y','1'
'O','024F0A','Unknown','KEK EG','124','Y','Y','6'
'O','025B14','HPH 304CZ-17','LY-ZMZ','MZ','Y','Y','1'
'F','02810A','Paraglider','P21549','','Y','Y','6'
'O','030581','Paraglider','','','Y','Y','6'
'O','031C72','Paraglider','','','Y','Y','6'
'O','032536','Unknown','OK-7755','YU','Y','Y','6'
'O','033042','Drone/UAV','METEO5','','Y','Y','5'
'O','033631','HangGlider','65-17','','Y','Y','6'
'F','033915','LAK-17 AT','D-KGPC','PC','Y','Y','1'
'O','03440C','Blanik','OK-2710','SG1','Y','Y','1'
'F','034819','ASW-15','OK-3304','17','Y','Y','1'
'O','034B28','Unknown','NIC','NIC','Y','Y','6'
'O','034EE0','PW-5','N101GM','','Y','Y','1'
'O','034F00','PIK-20 D','C-GINY','GY','Y','Y','1'
'O','034F9C','PW-5','N101GM','','Y','Y','1'
'F','034FB0','Ventus 2cxT','G-CKFP','124','Y','Y','1'
'O','035E35','UFO','CC-TR4','TR4','Y','Y','6'
'O','036A01','Cessna 172','CC-KWG','WG','Y','Y','2'
'O','03885C','VT-116 Orlik II','OK-7403','I','Y','Y','1'
'O','03A938','Z-226 trener','OM-MHG','G','Y','Y','2'
'O','03AF2A','Experimental','','201','Y','Y','1'
'O','03DB0E','HangGlider','20-53','XXX','Y','Y','6'
'O','040404','Paraglider','tomasz','713','Y','Y','6'
'O','041203','Paraglider','041203','','Y','Y','6'
'F','041464','Unknown','TTB','TTB','Y','Y','6'
'O','041A1D','Ground Station','041A1D','','Y','Y','6'
'O','041A1E','Parrot Bebop','041A1D','','Y','Y','5'
'O','042703','Paraglider','','','Y','Y','6'
'O','042773','ASK-13','OK-2302','ASK','Y','Y','1'
'O','042BE2','Paraglider','11234','112','Y','Y','6'
'O','045AF7','Paraglider','HoPe','bfd','Y','Y','6'
'O','046213','Paraglider','Peak4','69','Y','Y','6'
'O','046215','A60 Fauconnet','','','Y','Y','1'
'O','046217','Paraglider','Peak4','NK','Y','Y','6'
'O','046758','Paraglider','Grich67','1','Y','Y','6'
'O','0477A1','Paraglider','0477A1','','Y','Y','6'
'O','048A30','HangGlider','1-238','','Y','Y','6'
'F','04AAAC','A380','','','Y','Y','1'
'F','04AAAD','A380','','','Y','Y','1'
'O','04B729','Drone/UAV','METEO7','','Y','Y','5'
'O','04C856','Cirrus Std','OK-4301','CV','Y','Y','1'
'O','04CAFE','Paraglider','tomasz','313','Y','Y','6'
'O','04CD05','Ground Station','viewAir','.eu','Y','Y','6'
'O','04CE39','Ground Station','viewAir','.eu','Y','Y','6'
'O','04DA05','Paraglider','','','Y','Y','6'
'O','04DEAD','Paraglider','tomasz','13','Y','Y','6'
'F','050891','LS-8 18','HB-3352','EY','Y','Y','1'
'O','051F77','Drone/UAV','PK-X010','P10','Y','Y','5'
'O','052889','Drone/UAV','PK-X009','P09','Y','Y','5'
'O','053816','DV20 Katana','HADAS','DAS','Y','Y','2'
'O','054916','Cirrus 18m','OK-8774','2W','Y','Y','1'
'O','055A16','EuroFox','OM-FAN','FAN','Y','Y','3'
'O','05DAFF','PIK-20 D','SP-3866','AK','Y','Y','1'
'O','05DB23','Blanik','OK-3702','BU','Y','Y','1'
'O','060577','Paraglider','ToddyS','','Y','Y','6'
'O','062323','VT-116 Orlik II','OK 6907','UO','Y','Y','1'
'O','062909','Unknown','OK-3123','MM','Y','Y','6'
'O','064D0E','SF-25','HA-1270','','Y','Y','1'
'O','065247','Unknown','KILY-1','Vin','Y','Y','6'
'O','066015','Z-226 trener','OK-MPB','226','Y','Y','2'
'O','066F73','TL-2000 Sting','OKSUA36','STI','Y','Y','3'
'O','06B328','Maule M-7','','FMT','Y','Y','2'
'O','06CD5D','Ground Station','viewAir','.eu','Y','Y','6'
'F','06DDA6','DG-505','D-7282','VG','Y','Y','1'
'F','06DDDF','DG-808 B','HB-2322','JW','Y','Y','1'
'I','071308','Paraglider','','','Y','Y','6'
'O','071B14','Paraglider','19173','','Y','Y','6'
'O','071CA9','Paraglider','Jono','','Y','Y','6'
'I','071D23','Paraglider','','','Y','Y','6'
'O','072000','Cessna 182','CC-KWJ','WJ','Y','Y','2'
'O','073738','ASW-15','OK-6869','MB','Y','Y','1'
'O','073B55','SZD-9 Bocian','LY-GQZ','QZ','Y','Y','1'
'O','07411F','Ultralight','LY-XMF','','Y','Y','3'
'O','0749AF','Paraglider','Lexrobe','312','Y','Y','6'
'O','074AD4','Paraglider','OE-66P1','214','Y','Y','6'
'O','074F25','Paraglider','KZO','','Y','Y','6'
'O','074F3D','VSO-10','OK-2500','F8','Y','Y','1'
'F','075A6F','Paraglider','','','Y','Y','6'
'O','075A80','Paraglider','PG','JPP','Y','Y','6'
'O','07617D','Cessna 152','HA-SKV','HKV','Y','Y','2'
'O','076F63','Different Aircraft','C-MSC1','MS1','Y','Y','1'
'O','07D952','Unknown','','Tt1','Y','Y','6'
'F','0800B0','Sinus','0800B0','VC','Y','Y','1'
'F','080463','Paraglider','IOTA2','','Y','Y','6'
'O','084431','ASW-15','OK-5331','HH','Y','Y','1'
'F','089891','Ventus 2cM','D-KJOY','','Y','Y','1'
'O','090929','ASW-19','1600','A1','Y','Y','1'
'O','093815','Blanik','OK 9851','','Y','Y','1'
'O','094054','Unknown','OK-0376','UB','Y','Y','6'
'F','0ABA93','Jodel D140','F-UMDA','DA','Y','Y','2'
'F','0CFFFF','Cessna 208','F-HANM','','Y','Y','2'
'F','0D0037','Kestrel','D-0037','SM','Y','Y','1'
'F','0D0466','ASK-13','D-0466','','Y','Y','1'
'F','0D1823','ASK-21','D-1823','CQ','Y','Y','1'
'F','0D2950','LS-6 18WJ','D-2950','1R','Y','Y','1'
'F','0D3528','LS-4','D-3528','3V','Y','Y','1'
'I','0D3608','','','','Y','N','6'
'F','0D3856','Grunau Baby','D-3856','','Y','Y','1'
'F','0D4253','A380','RESERV','','Y','Y','1'
'F','0D5496','Discus 2','D-5496','','Y','Y','1'
'F','0D5729','DG-300','D-5729','FX','Y','Y','1'
'F','0D6510','DG-1000','D-6510','','Y','Y','1'
'F','0D6559','LS-1 f','0D6559','2P','Y','Y','1'
'F','0D7039','Ka-2','D-7039','','Y','Y','1'
'F','0D7503','L-Spatz 55','D-7503','','Y','Y','1'
'F','0D7619','Duo Discus','D-4824','DR','Y','Y','1'
'F','0DD836','ASK-21','','22','Y','Y','1'
'F','0DEC3C','ASK-21','D-1221','21','Y','Y','1'
'O','0F8A31','Ultralight','OKRUL96','L96','Y','Y','3'
'F','100661','Paraglider','','','Y','Y','6'
'F','100E08','Paraglider','','','Y','Y','6'
'O','101100','Paraglider','','','Y','Y','6'
'O','101101','Paraglider','','','Y','Y','6'
'F','10154A','Motorplane','HB-TCP','','Y','Y','2'
'F','102030','LS-8a','PH-1047','SR','Y','Y','1'
'F','104280','LS-1 f','D2254','HR','Y','Y','1'
'O','10CD15','Ultralight','32-00UL','00','Y','Y','3'
'I','10EB2E','JS-1 C18 Evo','ZSGBB','ZB','Y','Y','1'
'F','110005','Paraglider','','','Y','Y','6'
'F','110007','Paraglider','BDW','','Y','Y','6'
'F','110008','','','','Y','N','6'
'F','11000B','Paraglider','airbjor','bjg','Y','Y','6'
'F','11000C','Paraglider','Peak4','Nk','Y','Y','6'
'F','110010','Paraglider','35314','pip','Y','Y','6'
'F','11001A','Paraglider','D-MWCK','','Y','Y','6'
'F','11001E','Paraglider','SUn3','','Y','Y','6'
'F','11001F','Paraglider','Paul','PN','Y','Y','6'
'F','110024','Paraglider','SUn2','','Y','Y','6'
'O','110026','Paraglider','CH22856','','Y','Y','6'
'F','110049','','','','Y','N','6'
'F','110058','Paraglider','RICHC','RJC','Y','Y','6'
'F','110059','Paraglider','CH13949','NoS','Y','Y','6'
'F','11005B','Paraglider','30318','','Y','Y','6'
'F','110061','A380','FloB','','Y','Y','1'
'F','110063','Paraglider','','','Y','Y','6'
'F','110065','Paraglider','CH46795','BeK','Y','Y','6'
'F','110066','Paraglider','CH13903','DaB','Y','Y','6'
'O','11006A','Paraglider','ch52856','FrS','Y','Y','6'
'F','110070','Paraglider','CH9164','ToW','Y','Y','6'
'F','110071','Paraglider','5385 SS','','Y','Y','6'
'F','110078','Paraglider','CH42893','ChM','Y','Y','6'
'F','11007B','Paraglider','CH44472','HuN','Y','Y','6'
'O','110084','Paraglider','Bene','Ben','Y','Y','6'
'F','11008D','Paraglider','11008D','','Y','Y','6'
'F','11009E','Paraglider','34','','Y','Y','6'
'O','1100AA','Paraglider','CH32358','DoS','Y','Y','6'
'F','1100B2','Paraglider','7493','','Y','Y','6'
'O','1100C0','Paraglider','RUE','RUE','Y','Y','6'
'F','1100C2','Paraglider','YetiSam','Sam','Y','Y','6'
'F','1100C5','Paraglider','RaMu','','Y','Y','6'
'F','1100CF','Paraglider','Simon S','SiS','Y','Y','6'
'F','1100E4','Paraglider','49984','ChF','Y','Y','6'
'F','1100E8','Paraglider','brunand','','Y','Y','6'
'F','1100EC','Paraglider','AV','AV','Y','Y','6'
'F','1100EF','Paraglider','','hjb','Y','Y','6'
'F','1100F8','Paraglider','FranzDo','FDo','Y','Y','6'
'F','1100F9','Paraglider','ORLO','ORL','Y','Y','6'
'F','1100FC','Paraglider','D-NNAV','','Y','Y','6'
'F','1100FF','Paraglider','XXXXXX','ThH','Y','Y','6'
'O','110106','Paraglider','CH32358','fNk','Y','Y','6'
'F','110117','Paraglider','','270','Y','Y','6'
'F','11011E','Paraglider','FLYOVER','20P','Y','Y','6'
'F','11012E','Paraglider','53841','SAS','Y','Y','6'
'O','110136','Paraglider','CH45095','SyB','Y','Y','6'
'F','110137','Arcus M','35917','','Y','Y','1'
'F','110141','Paraglider','49028','EB','Y','Y','6'
'F','110148','Paraglider','Arnold','','Y','Y','6'
'F','11015A','Paraglider','26046','','Y','Y','6'
'F','11015C','Paraglider','52882','PAT','Y','Y','6'
'F','110165','Paraglider','Stolli','','Y','Y','6'
'F','110168','Paraglider','Boris','BW','Y','Y','6'
'F','110169','Paraglider','110169','','Y','Y','6'
'F','11016D','Ultralight','D-MSIF','','Y','Y','3'
'F','11017D','Paraglider','RLiners','','Y','Y','6'
'F','110182','Paraglider','1101MD','','Y','Y','6'
'F','110186','Paraglider','23197','','Y','Y','6'
'F','11018A','Paraglider','39426','N_S','Y','Y','6'
'F','110196','Paraglider','','M.S','Y','Y','6'
'F','11019C','Paraglider','WM','','Y','Y','6'
'F','1101A5','Paraglider','OE-6801','','Y','Y','6'
'F','1101A9','HangGlider','','','Y','Y','6'
'F','1101AB','Paraglider','53097','','Y','Y','6'
'F','1101AD','Paraglider','52541','','Y','Y','6'
'F','1101B7','Paraglider','','','Y','Y','6'
'F','1101BD','Paraglider','','','Y','Y','6'
'F','1101C0','Paraglider','OZONE','D3','Y','Y','6'
'F','1101C1','Paraglider','','','Y','Y','6'
'O','1101C3','Paraglider','PST','PST','Y','Y','6'
'F','1101C8','Paraglider','JuMu','','Y','Y','6'
'F','1101CB','Paraglider','KIPFI','','Y','Y','6'
'F','1101CE','Paraglider','','','Y','Y','6'
'F','1101D4','Paraglider','LAD','','Y','Y','6'
'F','1101D6','Paraglider','52770','','Y','Y','6'
'O','1101DE','','','','Y','N','6'
'F','1101E0','Paraglider','KoNy','KM','Y','Y','6'
'F','1101E3','Paraglider','segra','101','Y','Y','6'
'F','1101E6','Paraglider','49483','','Y','Y','6'
'F','1101EB','Paraglider','43061','Tom','Y','Y','6'
'F','110202','Paraglider','MaU','MaU','Y','Y','6'
'O','110203','Paraglider','IOTA_2','JB','Y','Y','6'
'F','110207','Paraglider','DMZZN','007','Y','Y','6'
'F','11020D','Paraglider','Tupath','','Y','Y','6'
'F','11020F','Paraglider','11020F','','Y','Y','6'
'F','110230','Paraglider','8454','BKO','Y','Y','6'
'F','110238','','','','Y','N','6'
'F','110251','Paraglider','Tomgarl','TM','Y','Y','6'
'F','110257','Paraglider','Peter M','PMI','Y','Y','6'
'F','11025A','','','','Y','N','6'
'O','11025C','Paraglider','JAppel','APP','Y','Y','6'
'F','110265','Paraglider','26949','Alf','Y','Y','6'
'F','110269','Paraglider','Mattias','MR1','Y','Y','6'
'O','11026D','Paraglider','JERG','','Y','Y','6'
'F','110278','Paraglider','fiaskog','Kai','Y','Y','6'
'F','110280','Paraglider','Heinz','Erb','Y','Y','6'
'F','110281','HangGlider','SHV9730','','Y','Y','6'
'F','110282','Paraglider','CH38848','Adi','Y','Y','6'
'F','110284','Paraglider','48651','Urs','Y','Y','6'
'F','110296','Paraglider','DK5RF','','Y','Y','6'
'F','110297','Paraglider','1234','','Y','Y','6'
'F','110298','Cirrus Std','XQN','C13','Y','Y','1'
'F','110299','Paraglider','Utz','URW','Y','Y','6'
'F','1102A5','Paraglider','FO','A5','Y','Y','6'
'F','1102A6','Paraglider','tvo','tvo','Y','Y','6'
'F','1102AB','Paraglider','AxPr','','Y','Y','6'
'F','1102AE','Paraglider','Tim Bek','TMB','Y','Y','6'
'F','1102B8','Paraglider','50165','','Y','Y','6'
'F','1102BD','Paraglider','paralex','','Y','Y','6'
'F','1102C9','Paraglider','','','Y','Y','6'
'F','1102D5','Paraglider','49778','','Y','Y','6'
'O','1102DB','Paraglider','WDP','','Y','Y','6'
'F','1102E7','Paraglider','','','Y','Y','6'
'O','1102F0','Paraglider','MMO','MMO','Y','Y','6'
'F','1102F1','Paraglider','Thomas','TRO','Y','Y','6'
'F','1102F3','Paraglider','Juergen','JGO','Y','Y','6'
'F','1102F7','Paraglider','D-NCDP','','Y','Y','6'
'O','110315','Paraglider','FuFritz','488','Y','Y','6'
'F','110318','Paraglider','JensR','JR','Y','Y','6'
'F','11031B','Paraglider','CC10','88','Y','Y','6'
'F','110330','Paraglider','DNSLA','','Y','Y','6'
'F','110331','Paraglider','Joggi','','Y','Y','6'
'F','110338','Paraglider','DG0606','PCS','Y','Y','6'
'F','110339','Paraglider','ChDaus','CDA','Y','Y','6'
'F','110347','Paraglider','MRU','MRU','Y','Y','6'
'F','110348','Paraglider','PeFr','PeF','Y','Y','6'
'F','110349','Paraglider','58402','','Y','Y','6'
'F','110353','Paraglider','CH45116','IrB','Y','Y','6'
'F','110356','Paraglider','SilKopp','SK1','Y','Y','6'
'F','11037F','Paraglider','','','Y','Y','6'
'F','110384','Paraglider','','','Y','Y','6'
'F','110387','Paraglider','','','Y','Y','6'
'F','110388','Paraglider','','','Y','Y','6'
'F','110393','Paraglider','','393','Y','Y','6'
'F','110397','HangGlider','xmikex','xa3','Y','Y','6'
'F','1103B5','Paraglider','Thomas','','Y','Y','6'
'F','1103B6','Parrot Bebop','1103B6','','Y','Y','5'
'F','1103BC','Paraglider','TM','TOM','Y','Y','6'
'F','1103C2','Paraglider','','','Y','Y','6'
'F','1103C6','HangGlider','5185','','Y','Y','6'
'O','1103C8','Paraglider','WAST59','STW','Y','Y','6'
'F','1103CE','Paraglider','Cumeo','','Y','Y','6'
'F','1103D2','HangGlider','','rbe','Y','Y','6'
'F','1103D5','Swift','shv4181','uh','Y','Y','1'
'F','1103D6','HangGlider','D-MDWM','','Y','Y','6'
'F','1103D9','Paraglider','ECKI','','Y','Y','6'
'F','1103DE','Paraglider','Gunther','GHa','Y','Y','6'
'F','1103E2','Paraglider','Epsilon','OlH','Y','Y','6'
'F','1103F0','Paraglider','TLI','tli','Y','Y','6'
'O','110406','Paraglider','110406','','Y','Y','6'
'F','11043C','Paraglider','Stefan','','Y','Y','6'
'F','11046D','Paraglider','Lewi','','Y','Y','6'
'F','11046E','Paraglider','','','Y','Y','6'
'F','11047F','Paraglider','JoHigh','JH','Y','Y','6'
'F','110482','Paraglider','Niklas','lem','Y','Y','6'
'F','110483','Paraglider','Robin M','ROB','Y','Y','6'
'F','110485','Paraglider','Karsten','','Y','Y','6'
'F','110487','Paraglider','Engler','CHE','Y','Y','6'
'F','1104A3','Paraglider','','','Y','Y','6'
'F','1104BD','Paraglider','CH54691','RoC','Y','Y','6'
'F','1104BE','','','','Y','N','6'
'F','1104C7','HangGlider','','PD','Y','Y','6'
'F','1104D3','Paraglider','Raffl M','RAM','Y','Y','6'
'F','1104F6','Paraglider','18072','','Y','Y','6'
'F','110503','Paraglider','Adi Hun','024','Y','Y','6'
'F','110509','Paraglider','54158','ANC','Y','Y','6'
'F','110511','Paraglider','Michael','MPR','Y','Y','6'
'F','110512','Paraglider','Alamon','ALE','Y','Y','6'
'F','110513','Paraglider','UDO','','Y','Y','6'
'F','110519','Paraglider','','ASK','Y','Y','6'
'F','11051D','Paraglider','51583','','Y','Y','6'
'F','11051E','Paraglider','2836','','Y','Y','6'
'F','110520','Paraglider','znq','','Y','Y','6'
'F','110523','HangGlider','Barbara','','Y','Y','6'
'F','110527','','','','Y','N','6'
'F','110528','Paraglider','Michael','MB','Y','Y','6'
'F','110529','Paraglider','CH56330','','Y','Y','6'
'F','110534','Paraglider','HBoetes','VEG','Y','Y','6'
'F','110536','Paraglider','Michel','MB','Y','Y','6'
'F','11054C','Paraglider','CH32819','','Y','Y','6'
'F','11055F','Paraglider','SIGITAS','FAI','Y','Y','6'
'F','110575','Paraglider','Langer','RL','Y','Y','6'
'O','110579','Paraglider','TOMOTTI','','Y','Y','6'
'F','11057E','Paraglider','SU1792','','Y','Y','6'
'F','110584','Paraglider','Sebi','66','Y','Y','6'
'F','110588','Paraglider','10093','fur','Y','Y','6'
'F','110591','HangGlider','56758','KRF','Y','Y','6'
'F','110594','Paraglider','DETE','','Y','Y','6'
'F','1105A0','Paraglider','Florian','','Y','Y','6'
'F','1105C8','Paraglider','HB54350','','Y','Y','6'
'F','1105D4','Paraglider','31479','123','Y','Y','6'
'F','1105E2','Paraglider','','','Y','Y','6'
'F','1105F8','Paraglider','JanPiu','PIJ','Y','Y','6'
'F','1105F9','Paraglider','SiB','SiB','Y','Y','6'
'F','1105FA','Paraglider','Paul G','','Y','Y','6'
'F','1105FB','Paraglider','Hannes','joe','Y','Y','6'
'F','1105FC','Paraglider','AnR','AnR','Y','Y','6'
'F','1105FE','Paraglider','Mario','MH','Y','Y','6'
'F','1105FF','Paraglider','FlyingS','SKO','Y','Y','6'
'F','110607','Paraglider','','PEZ','Y','Y','6'
'F','110611','Paraglider','Michi P','MP','Y','Y','6'
'F','110626','Paraglider','','HT','Y','Y','6'
'F','11062E','Paraglider','','','Y','Y','6'
'F','110634','Paraglider','','','Y','Y','6'
'O','110642','Cirrus Std','OK-6557','MF','Y','Y','1'
'F','110650','Paraglider','Tobi','TB','Y','Y','6'
'F','110661','HangGlider','RTB','RTH','Y','Y','6'
'F','110668','Paraglider','NajHo','JEH','Y','Y','6'
'F','110679','Paraglider','','','Y','Y','6'
'F','11067C','Paraglider','HaakanP','HP','Y','Y','6'
'F','11069D','Paraglider','Jens','JL','Y','Y','6'
'F','1106A0','Paraglider','41227','','Y','Y','6'
'F','1106A2','Paraglider','B.H.W.','','Y','Y','6'
'F','1106A5','Paraglider','Daniel','ZIO','Y','Y','6'
'F','1106A6','Paraglider','Thomas','TL','Y','Y','6'
'F','1106BD','Paraglider','FlyingR','RoG','Y','Y','6'
'F','1106C2','Paraglider','51334','wip','Y','Y','6'
'F','1106C6','Paraglider','','','Y','Y','6'
'F','1106D1','Paraglider','RogerL','M23','Y','Y','6'
'F','1106D5','Paraglider','Falkner','FW','Y','Y','6'
'F','1106E5','Paraglider','Artur B','aba','Y','Y','6'
'F','1106F2','Paraglider','WATCH','WA','Y','Y','6'
'F','1106F8','Paraglider','TT','TT','Y','Y','6'
'F','1106FD','Paraglider','Boom','','Y','Y','6'
'F','1106FE','Paraglider','GeorgS','G_S','Y','Y','6'
'F','110700','Paraglider','','','Y','Y','6'
'F','110701','Paraglider','','SvH','Y','Y','6'
'F','110702','Paraglider','MafrSt','','Y','Y','6'
'F','110713','Mistral','41325','','Y','Y','1'
'F','11071B','Paraglider','OLIVIU','OLI','Y','Y','6'
'F','110729','Paraglider','ToRo1','TOM','Y','Y','6'
'F','110732','Paraglider','D-NWOP','WOP','Y','Y','6'
'F','110733','Baloon','HBQWP','','Y','Y','6'
'F','110735','Paraglider','','','Y','Y','6'
'F','110739','Paraglider','oe6543','blm','Y','Y','6'
'F','110748','Paraglider','Zeno','SW','Y','Y','6'
'F','110749','Paraglider','Mentor','WIF','Y','Y','6'
'F','110755','Paraglider','JoeT','JTR','Y','Y','6'
'F','11075E','Paraglider','Smily','666','Y','Y','6'
'F','110769','Drone/UAV','SUI9965','','Y','Y','5'
'F','110778','Paraglider','42104','ChB','Y','Y','6'
'F','11077F','Paraglider','Tille','E3','Y','Y','6'
'F','110784','Paraglider','23403','WST','Y','Y','6'
'F','110785','Paraglider','OE-6674','674','Y','Y','6'
'F','110786','Drone/UAV','0Z-1998','998','Y','Y','5'
'F','1107D1','Motorglider','D-MIDL','','Y','Y','1'
